Player,Team,Salary
Michael Carter-Williams,CHO,2700000.0
Rashad Vaughn,NOP,1889040.0
Trey Lyles,DEN,2441400.0
Jonathan Isaac,ORL,4186320.0
Klay Thompson,GSW,17826150.0
Malik Beasley,DEN,1700640.0
Bradley Beal,WAS,23775506.0
Timothe Luwawu-Cabarrot,PHI,1386600.0
Dirk Nowitzki,DAL,5000000.0
Trevor Booker,PHI,9125000.0
Bryn Forbes,SAS,1312611.0
Alfonzo McKinnie,TOR,815615.0
Joffrey Lauvergne,SAS,1524305.0
Davon Reed,PHO,815615.0
Tony Snell,MIL,9821429.0
Jameer Nelson,DET,2262871.0
Kent Bazemore,ATL,16910113.0
Malcolm Delaney,ATL,2500000.0
Ersan Ilyasova,PHI,502328.0
Wesley Matthews,DAL,17884176.0
Cameron Oliver,HOU,300000.0
Brice Johnson,MEM,1331160.0
Davis Bertans,SAS,1312611.0
Tony Bradley,UTA,1414920.0
Bam Adebayo,MIA,2490360.0
Ekpe Udoh,UTA,3200000.0
Dante Cunningham,BRK,2300000.0
JaMychal Green,MEM,8533333.0
Ian Mahinmi,WAS,16661641.0
Leandro Barbosa,PHO,500000.0
Alex Abrines,OKC,5725000.0
Danilo Gallinari,LAC,20559599.0
Maurice Harkless,POR,10162922.0
Shabazz Napier,POR,2361360.0
Manu Ginobili,SAS,2500000.0
Dillon Brooks,MEM,815615.0
Rudy Gay,SAS,8406000.0
Zhou Qi,HOU,815615.0
Anthony Tolliver,SAC,2000000.0
Jimmy Butler,MIN,19301070.0
Bobby Portis,CHI,1516320.0
Deron Williams,BRK,5500000.0
Marreese Speights,ORL,2116955.0
Brandon Paul,SAS,815615.0
Richard Jefferson,DEN,2328652.0
Chris Johnson,HOU,25000.0
D'Angelo Russell,BRK,5562360.0
Carrick Felix,WAS,140902.0
Boban Marjanovic,LAC,7000000.0
Vander Blue,LAL,50000.0
Omer Asik,CHI,10595505.0
Nick Young,GSW,5192000.0
Chris Bosh,MIA,25289390.0
Derrick Jones,PHO,1312611.0
Anthony Tolliver,DET,3290000.0
Sheldon Mac,ATL,1312611.0
Evan Fournier,ORL,17000000.0
E'Twaun Moore,NOP,8445024.0
Jarrett Allen,BRK,1713720.0
Yakuba Ouattara,BRK,50000.0
Isaiah Canaan,CHI,200000.0
Ricky Rubio,UTA,14275000.0
Marquese Chriss,PHO,3073800.0
Demetrius Jackson,HOU,74159.0
Rodney McGruder,MIA,1312611.0
Okaro White,ATL,1312611.0
Reggie Bullock,DET,2500000.0
Mike Conley,MEM,28530608.0
Zach Collins,POR,3057240.0
Amir Johnson,PHI,11000000.0
Rondae Hollis-Jefferson,BRK,1471382.0
"Walt Lemon, Jr.",NOP,92160.0
Garrett Temple,SAC,8000000.0
Denzel Valentine,CHI,2186400.0
Danny Green,SAS,10000000.0
Dennis Schroder,ATL,15500000.0
Lance Thomas,NYK,6655325.0
Derrick White,SAS,1404600.0
Gorgui Dieng,MIN,14112360.0
Sindarius Thornwell,LAC,815615.0
Jarell Eddie,BOS,83129.0
Pat Connaughton,POR,1471382.0
Raymond Felton,OKC,2328652.0
Chinanu Onuaku,HOU,1312611.0
Beno Udrih,DET,25000.0
Jamal Murray,DEN,3355320.0
Pascal Siakam,TOR,1312611.0
Kay Felder,CHI,1312611.0
Nikola Vucevic,ORL,12250000.0
Rudy Gobert,UTA,21974719.0
DeMarre Carroll,BRK,14800000.0
Isaiah Thomas,LAL,6261395.0
Jarrett Jack,NYK,2328652.0
Jrue Holiday,NOP,25686667.0
Dwight Howard,CHO,23500000.0
Briante Weber,HOU,50000.0
Darrell Arthur,DEN,7464912.0
Derrick Favors,UTA,12000000.0
Steven Adams,OKC,22471910.0
Kevin Durant,GSW,25000000.0
Goran Dragic,MIA,17000450.0
Michael Kidd-Gilchrist,CHO,13000000.0
Nemanja Bjelica,MIN,3949999.0
Kyle Collinsworth,DAL,92160.0
Georgios Papagiannis,POR,74159.0
Mario Chalmers,MEM,2106407.0
Montrezl Harrell,LAC,1471382.0
Demetrius Jackson,BOS,92858.0
Emeka Okafor,NOP,239204.0
Ersan Ilyasova,ATL,6000000.0
Wayne Ellington,MIA,6270000.0
Zach Randolph,SAC,12307692.0
Josh Gray,PHO,92160.0
Julius Randle,LAL,4149242.0
Nene Hilario,HOU,3477600.0
Georgios Papagiannis,SAC,2301360.0
Quincy Acy,BRK,1709538.0
Josh Jackson,PHO,5090040.0
Henry Ellenson,DET,1780800.0
Rodney Purvis,ORL,46080.0
Tristan Thompson,CLE,16400000.0
Devin Harris,DEN,4402546.0
Jeff Withey,DAL,1577320.0
Royce O'Neale,UTA,815615.0
Gordon Hayward,BOS,29727900.0
DeAndre Liggins,ATL,26773.0
Khris Middleton,MIL,14100000.0
Wade Baldwin,POR,222476.0
Patrick Patterson,OKC,5192000.0
Trey McKinney-Jones,IND,46080.0
Dwyane Wade,MIA,2328652.0
Ivica Zubac,LAL,1312611.0
Lucas Nogueira,TOR,2947305.0
Robin Lopez,CHI,13788500.0
Josh Richardson,MIA,1471382.0
Lonzo Ball,LAL,6286560.0
Sean Kilpatrick,BRK,1524305.0
Kristaps Porzingis,NYK,4503600.0
Michael Young,WAS,50000.0
Isaiah Taylor,ATL,1312611.0
Malcolm Brogdon,MIL,1312611.0
Joel Bolomboy,UTA,1312611.0
Kevin Martin,MIN,1360305.0
Jayson Tatum,BOS,5645400.0
Paul Pierce,LAC,1096080.0
Andre Drummond,DET,23775506.0
Khem Birch,ORL,815615.0
Nikola Mirotic,NOP,12500000.0
Corey Brewer,LAL,7579366.0
Jarell Eddie,CHI,83129.0
Semi Ojeleye,BOS,1291892.0
Luc Mbah a Moute,HOU,2116955.0
Brandon Jennings,MIL,119010.0
Nicolas Brussino,ATL,1312611.0
Nigel Hayes,TOR,46080.0
Tony Allen,CHI,2116955.0
Antonius Cleveland,DAL,50000.0
Caleb Swanigan,POR,1465920.0
Markelle Fultz,PHI,7026240.0
Rajon Rondo,NOP,3300000.0
Marshall Plumlee,NYK,100000.0
Joe Johnson,SAC,9505000.0
Treveon Graham,CHO,1312611.0
Malik Monk,CHO,2904480.0
Shaquille Harrison,PHO,92160.0
Allen Crabbe,BRK,19332500.0
Gerald Henderson,PHI,1000000.0
Guerschon Yabusele,BOS,2247480.0
Livio Jean-Charles,SAS,1035200.0
Josh Smith,NOP,2183934.0
Frank Mason,SAC,1184385.0
Sean Kilpatrick,MIL,789725.0
Isaiah Whitehead,BRK,1312611.0
Justin Holiday,CHI,4615385.0
Patrick McCaw,GSW,1312611.0
Paul Millsap,DEN,31269231.0
Darren Collison,IND,10000000.0
Wilson Chandler,DEN,12016854.0
Naz Mitrou-Long,UTA,92160.0
Justin Jackson,SAC,2365560.0
Milos Teodosic,LAC,6000000.0
Jonas Valanciunas,TOR,15460675.0
Ante Zizic,CLE,1645200.0
Devin Booker,PHO,2319360.0
Brandan Wright,MEM,5179760.0
Joakim Noah,NYK,17765000.0
Frank Kaminsky,CHO,2847600.0
Bogdan Bogdanovic,SAC,9470614.0
Tim Duncan,SAS,1881250.0
Chris Paul,HOU,24599495.0
DeAndre' Bembry,ATL,1567200.0
Victor Oladipo,IND,21000000.0
Marcus Morris,BOS,5000000.0
Eric Griffin,UTA,50000.0
James Johnson,MIA,13954000.0
Gian Clavell,DAL,50000.0
Tony Parker,SAS,15453126.0
Spencer Dinwiddie,BRK,1524305.0
Jordan Crawford,NOP,250000.0
Joe Young,IND,1471382.0
Brook Lopez,LAL,22642350.0
Timofey Mozgov,BRK,15280000.0
Dario Saric,PHI,2422560.0
Dewayne Dedmon,ATL,6000000.0
Briante Weber,MEM,83129.0
Vince Carter,SAC,8000000.0
James Ennis,DET,3028410.0
Briante Weber,LAL,50000.0
Ryan Anderson,HOU,19578455.0
Larry Sanders,MIL,1865547.0
Jamil Wilson,LAC,50000.0
Cory Joseph,IND,7630000.0
Luke Babbitt,MIA,1974159.0
Andrew Wiggins,MIN,7574322.0
DeAndre Jordan,LAC,22642350.0
Deyonta Davis,MEM,1312611.0
Dante Exum,UTA,4992385.0
Ike Anigbogu,IND,950000.0
Aron Baynes,BOS,4328000.0
Rajon Rondo,CHI,3000000.0
Jamal Crawford,MIN,4328000.0
Jose Calderon,CLE,2328652.0
Kelly Oubre,WAS,2093040.0
Joel Bolomboy,MIL,22248.0
Jake Layman,POR,1312611.0
T.J. Warren,PHO,3152931.0
Andrew Nicholson,POR,2844429.0
Jason Thompson,GSW,945126.0
Eric Bledsoe,MIL,14500000.0
Tyler Ulis,PHO,1312611.0
Larry Drew,NOP,74159.0
Brandon Rush,POR,119602.0
Travis Wear,LAL,148318.0
Dennis Smith,DAL,3218280.0
Damien Wilkins,IND,2116955.0
V.J. Beachem,LAL,50000.0
Delon Wright,TOR,1645200.0
Malachi Richardson,TOR,1504560.0
Paul George,OKC,19508958.0
Marc Gasol,MEM,22642350.0
Kyle Korver,CLE,7000000.0
Ronnie Price,OKC,2442455.0
Damyean Dotson,NYK,1100000.0
Miles Plumlee,ATL,12500000.0
Jarell Eddie,CHI,17224.0
Mike James,PHO,87552.0
Willie Cauley-Stein,SAC,3704160.0
Michael Beasley,NYK,2116955.0
Ian Clark,NOP,1577230.0
Aaron Gray,DET,452059.0
Mason Plumlee,DEN,14041096.0
Justin Patton,MIN,2247480.0
Fred VanVleet,TOR,1312611.0
Myles Turner,IND,2569920.0
Jusuf Nurkic,POR,2947305.0
Jameel Warney,DAL,46080.0
Donovan Mitchell,UTA,2621280.0
Joel Embiid,PHI,6100266.0
Robert Covington,PHI,16698103.0
Martell Webster,WAS,830000.0
Jerryd Bayless,PHI,9000000.0
Giannis Antetokounmpo,MIL,22471910.0
Rashad Vaughn,ORL,166258.0
Udonis Haslem,MIA,2328652.0
Greg Monroe,BOS,5000000.0
Diamond Stone,CHI,50000.0
Chris McCullough,WAS,1471382.0
Kyle Singler,OKC,4666500.0
Wade Baldwin,MEM,1874400.0
Clint Capela,HOU,2334520.0
Kyle Kuzma,LAL,1423560.0
Tyler Johnson,MIA,5881260.0
Gal Mekel,DAL,315760.0
Daniel Ochefu,WAS,50000.0
Cedi Osman,CLE,2642857.0
Al-Farouq Aminu,POR,7319035.0
John Collins,ATL,1936920.0
Dwight Powell,DAL,9003125.0
LaMarcus Aldridge,SAS,21461010.0
Glenn Robinson,IND,1524305.0
Kyle O'Quinn,NYK,4087500.0
Meyers Leonard,POR,9904495.0
Brandon Ingram,LAL,5519400.0
Ben McLemore,MEM,5200000.0
Tyler Dorsey,ATL,815615.0
Al Horford,BOS,27734405.0
